,CPU_A,RAM_A,CPU_B,RAM_B,CPU_C,RAM_C
77,0.4,0.7,0.5,0.7,0.77,0.6
78,0.89,0.5,0.4,0.6,0.41,0.8
79,0.41,0.8,0.46,0.4,0.8,0.3
80,0.63,0.4,0.63,0.4,0.63,0.7
81,0.56,0.8,0.24,0.6,0.55,0.5
82,0.3,0.6,0.66,0.5,0.47,0.8
83,0.62,0.4,0.3,0.8,0.12,0.3
84,0.4,0.4,0.5,0.8,0.77,0.6
85,0.13,0.5,0.39,0.5,0.5,0.7
86,0.69,0.4,0.95,0.5,0.39,0.7
87,0.59,0.8,0.38,0.7,0.59,0.8
88,0.22,0.4,0.93,0.5,0.58,0.6
89,0.9,0.5,0.6,0.4,0.3,0.7
90,0.89,0.6,0.94,0.6,0.44,0.7
91,0.17,0.6,0.48,0.5,0.92,0.4
92,0.85,0.4,0.2,0.8,0.26,0.5
93,0.6,0.4,0.83,0.4,0.51,0.8
94,0.19,0.4,0.63,0.7,0.83,0.6
95,0.2,0.4,0.11,0.4,0.95,0.8
96,0.71,0.4,0.8,0.4,0.19,0.7
97,0.54,0.7,0.47,0.8,0.63,0.6
98,0.2,0.7,0.14,0.5,0.53,0.6
99,0.62,0.4,0.57,0.5,0.29,0.4
100,0.19,0.7,0.17,0.5,0.27,0.6
101,0.62,0.5,0.89,0.3,0.11,0.8
102,0.39,0.7,0.53,0.4,0.33,0.8
103,0.56,0.6,0.18,0.6,0.24,0.5
104,0.18,0.5,0.53,0.4,0.54,0.7
105,0.44,0.4,0.57,0.8,0.16,0.4
106,0.11,0.6,0.91,0.5,0.69,0.5
107,0.72,0.4,0.17,0.4,0.77,0.6
108,0.16,0.5,0.73,0.4,0.78,0.7
109,0.75,0.6,0.1,0.3,0.44,0.5
110,0.77,0.7,0.11,0.4,0.27,0.7
111,0.74,0.4,0.35,0.5,0.24,0.6
112,0.86,0.7,0.1,0.5,0.42,0.8
113,0.46,0.5,0.9,0.3,0.68,0.7
114,0.82,0.6,0.12,0.5,0.4,0.6
115,0.49,0.7,0.22,0.6,0.12,0.6
116,0.78,0.6,0.68,0.7,0.95,0.3
117,0.39,0.6,0.3,0.6,0.38,0.4
118,0.57,0.5,0.61,0.8,0.66,0.3
119,0.64,0.4,0.64,0.5,0.81,0.4
120,0.37,0.5,0.77,0.7,0.19,0.4
121,0.54,0.8,0.36,0.7,0.6,0.6
122,0.36,0.8,0.29,0.5,0.96,0.6
123,0.57,0.7,0.28,0.3,0.19,0.7
124,0.38,0.6,0.53,0.4,0.68,0.5
125,0.88,0.5,0.26,0.5,0.56,0.3
126,0.2,0.7,0.14,0.8,0.38,0.8
127,0.84,0.8,0.27,0.7,0.43,0.6
128,0.64,0.6,0.87,0.5,0.44,0.4
129,0.36,0.4,0.91,0.8,0.24,0.7
130,0.43,0.8,0.27,0.4,0.51,0.7
131,0.23,0.4,0.44,0.5,0.31,0.4
132,0.97,0.7,0.44,0.7,0.27,0.3
133,0.42,0.6,0.72,0.5,0.45,0.5
134,0.33,0.7,0.29,0.5,0.11,0.7
135,0.87,0.8,0.14,0.3,0.46,0.6
136,0.27,0.6,0.85,0.8,0.48,0.7
137,0.8,0.5,0.12,0.4,0.46,0.7
138,0.44,0.6,0.56,0.6,0.54,0.7
139,0.78,0.5,0.5,0.4,0.41,0.5
140,0.52,0.7,0.76,0.6,0.57,0.7
141,0.18,0.4,0.95,0.4,0.22,0.5
142,0.9,0.5,0.36,0.3,0.77,0.3
143,0.47,0.4,0.78,0.4,0.3,0.6
144,0.75,0.5,0.68,0.5,0.94,0.7
145,0.57,0.3,0.61,0.8,0.63,0.7
146,0.73,0.5,0.11,0.5,0.55,0.6
147,0.35,0.4,0.4,0.7,0.54,0.8
148,0.94,0.4,0.2,0.8,0.17,0.6
149,0.17,0.7,0.34,0.5,0.85,0.5
150,0.69,0.4,0.25,0.6,0.11,0.7
151,0.12,0.8,0.24,0.6,0.87,0.5
152,0.45,0.5,0.83,0.5,0.65,0.6
153,0.82,0.6,0.77,0.4,0.52,0.6
154,0.61,0.5,0.75,0.7,0.59,0.6
155,0.48,0.7,0.67,0.6,0.25,0.6
156,0.38,0.7,0.62,0.7,0.54,0.7
157,0.17,0.5,0.32,0.4,0.93,0.6
158,0.37,0.8,0.87,0.6,0.4,0.3
159,0.97,0.6,0.69,0.7,0.85,0.6
160,0.74,0.6,0.61,0.7,0.38,0.7
161,0.68,0.7,0.51,0.8,0.3,0.4
162,0.6,0.7,0.38,0.8,0.14,0.5
163,0.82,0.4,0.77,0.6,0.44,0.8
164,0.5,0.5,0.59,0.5,0.2,0.3
165,0.7,0.5,0.24,0.6,0.41,0.6
166,0.22,0.6,0.34,0.8,0.27,0.7
167,0.32,0.6,0.62,0.7,0.1,0.3
168,0.79,0.5,0.88,0.6,0.38,0.4
169,0.22,0.8,0.58,0.3,0.76,0.5
170,0.93,0.7,0.64,0.6,0.89,0.4
171,0.87,0.7,0.52,0.8,0.18,0.6
172,0.27,0.7,0.93,0.6,0.64,0.5
173,0.15,0.5,0.45,0.4,0.9,0.5
174,0.85,0.5,0.56,0.4,0.73,0.3
175,0.31,0.6,0.42,0.6,0.69,0.3
176,0.84,0.7,0.81,0.7,0.72,0.6
177,0.27,0.6,0.86,0.6,0.35,0.5
178,0.36,0.7,0.28,0.6,0.43,0.4
179,0.63,0.5,0.43,0.7,0.39,0.4
180,0.26,0.3,0.9,0.4,0.27,0.6
181,0.43,0.5,0.78,0.8,0.38,0.3
182,0.68,0.5,0.68,0.3,0.9,0.4
183,0.89,0.5,0.11,0.6,0.68,0.7
184,0.13,0.5,0.85,0.7,0.5,0.4
185,0.52,0.7,0.78,0.4,0.68,0.5
186,0.8,0.7,0.55,0.8,0.38,0.5
187,0.82,0.4,0.73,0.7,0.86,0.5
188,0.17,0.4,0.53,0.3,0.8,0.4
189,0.65,0.7,0.48,0.7,0.86,0.7
190,0.55,0.7,0.13,0.6,0.27,0.6
191,0.45,0.7,0.42,0.5,0.91,0.4
192,0.7,0.5,0.37,0.4,0.21,0.4
193,0.87,0.6,0.25,0.4,0.18,0.5
194,0.2,0.4,0.43,0.4,0.76,0.3
195,0.82,0.5,0.54,0.7,0.12,0.7
196,0.39,0.5,0.84,0.5,0.44,0.3
197,0.19,0.3,0.91,0.7,0.15,0.8
198,0.84,0.6,0.41,0.5,0.73,0.7
199,0.5,0.6,0.1,0.3,0.72,0.7
200,0.36,0.5,0.73,0.7,0.69,0.4
201,0.87,0.3,0.24,0.6,0.21,0.7
202,0.84,0.5,0.56,0.6,0.29,0.8
203,0.59,0.6,0.41,0.4,0.9,0.3
204,0.21,0.6,0.45,0.6,0.6,0.7
205,0.39,0.4,0.85,0.5,0.65,0.8
206,0.33,0.8,0.66,0.7,0.83,0.6
207,0.68,0.8,0.58,0.4,0.94,0.6
208,0.67,0.3,0.72,0.6,0.35,0.5
209,0.96,0.5,0.54,0.5,0.94,0.6
210,0.79,0.4,0.14,0.5,0.76,0.7
211,0.49,0.5,0.54,0.5,0.75,0.7
212,0.3,0.4,0.38,0.4,0.32,0.6
213,0.95,0.5,0.8,0.6,0.38,0.7
214,0.42,0.5,0.6,0.4,0.55,0.7
215,0.61,0.6,0.59,0.8,0.92,0.5
216,0.58,0.4,0.11,0.5,0.5,0.3
217,0.64,0.4,0.47,0.4,0.44,0.4
218,0.85,0.3,0.13,0.5,0.25,0.6
219,0.74,0.5,0.75,0.4,0.79,0.7
220,0.81,0.4,0.94,0.7,0.46,0.3
221,0.43,0.4,0.42,0.6,0.48,0.5
222,0.32,0.7,0.42,0.5,0.55,0.5
223,0.77,0.8,0.15,0.6,0.3,0.4
224,0.11,0.7,0.29,0.6,0.52,0.7
225,0.94,0.7,0.23,0.3,0.21,0.7
226,0.18,0.4,0.5,0.4,0.8,0.7
227,0.34,0.6,0.48,0.7,0.54,0.5
228,0.49,0.8,0.14,0.8,0.34,0.6
229,0.69,0.5,0.19,0.5,0.17,0.4
230,0.93,0.6,0.62,0.3,0.33,0.4
231,0.12,0.6,0.25,0.8,0.41,0.8
232,0.24,0.5,0.21,0.6,0.61,0.7
233,0.96,0.7,0.92,0.4,0.77,0.7
234,0.77,0.5,0.3,0.5,0.13,0.8
235,0.61,0.4,0.96,0.5,0.68,0.4
236,0.95,0.6,0.93,0.6,0.16,0.4
237,0.22,0.7,0.33,0.7,0.74,0.6
238,0.15,0.5,0.45,0.5,0.44,0.5
239,0.59,0.4,0.13,0.7,0.67,0.5
240,0.88,0.6,0.55,0.6,0.23,0.4
241,0.88,0.5,0.19,0.4,0.87,0.7
242,0.11,0.5,0.69,0.5,0.11,0.5
243,0.94,0.6,0.49,0.4,0.71,0.6
244,0.11,0.6,0.46,0.8,0.62,0.7
245,0.19,0.3,0.11,0.8,0.39,0.7
246,0.72,0.6,0.44,0.3,0.9,0.5
247,0.19,0.7,0.25,0.7,0.25,0.4
248,0.2,0.5,0.7,0.3,0.48,0.3
249,0.83,0.6,0.31,0.6,0.49,0.5
250,0.86,0.3,0.93,0.6,0.49,0.6
251,0.24,0.7,0.33,0.4,0.56,0.5
252,0.41,0.8,0.96,0.6,0.91,0.7
253,0.52,0.6,0.57,0.6,0.29,0.5
254,0.34,0.4,0.74,0.5,0.82,0.8
255,0.12,0.4,0.6,0.7,0.33,0.4
256,0.37,0.7,0.32,0.6,0.69,0.8
257,0.19,0.7,0.91,0.5,0.73,0.5
258,0.93,0.8,0.58,0.3,0.25,0.6
259,0.19,0.4,0.68,0.5,0.74,0.6
260,0.79,0.4,0.18,0.5,0.66,0.5
261,0.32,0.6,0.65,0.8,0.83,0.8
262,0.35,0.4,0.62,0.5,0.52,0.4
263,0.62,0.5,0.34,0.7,0.92,0.5
264,0.4,0.7,0.22,0.4,0.17,0.5
265,0.93,0.8,0.77,0.6,0.78,0.8
266,0.44,0.4,0.36,0.6,0.7,0.5
267,0.26,0.4,0.38,0.6,0.21,0.8
268,0.19,0.4,0.67,0.8,0.21,0.7
269,0.42,0.6,0.9,0.8,0.91,0.6
270,0.37,0.4,0.87,0.7,0.62,0.4
271,0.13,0.5,0.44,0.7,0.43,0.4
272,0.41,0.5,0.82,0.7,0.18,0.4
273,0.2,0.5,0.84,0.4,0.62,0.4
274,0.74,0.3,0.95,0.7,0.82,0.8
275,0.14,0.7,0.86,0.7,0.77,0.4
276,0.38,0.6,0.85,0.7,0.35,0.7
277,0.3,0.7,0.16,0.6,0.43,0.5
278,0.52,0.7,0.74,0.4,0.22,0.8
279,0.17,0.7,0.4,0.6,0.29,0.5
280,0.24,0.3,0.89,0.6,0.32,0.5
281,0.73,0.3,0.62,0.6,0.13,0.7
282,0.81,0.7,0.43,0.3,0.68,0.5
283,0.68,0.3,0.19,0.7,0.55,0.4
284,0.83,0.7,0.59,0.6,0.84,0.7
285,0.58,0.3,0.37,0.5,0.77,0.7
286,0.78,0.5,0.27,0.6,0.61,0.3
287,0.63,0.5,0.29,0.6,0.36,0.6
288,0.45,0.7,0.57,0.3,0.53,0.5
289,0.47,0.4,0.7,0.3,0.19,0.6
290,0.15,0.3,0.25,0.8,0.38,0.6
291,0.62,0.3,0.28,0.5,0.47,0.6
292,0.24,0.5,0.22,0.5,0.56,0.4
293,0.47,0.6,0.94,0.8,0.25,0.4
294,0.63,0.8,0.44,0.6,0.11,0.7
295,0.14,0.5,0.66,0.4,0.8,0.4
296,0.35,0.3,0.59,0.7,0.42,0.6
297,0.68,0.3,0.88,0.4,0.61,0.4
298,0.78,0.4,0.36,0.7,0.7,0.7
299,0.88,0.7,0.17,0.8,0.79,0.8
300,0.58,0.4,0.33,0.4,0.45,0.5
301,0.14,0.5,0.72,0.3,0.79,0.3
302,0.28,0.4,0.54,0.4,0.77,0.5
303,0.74,0.5,0.86,0.6,0.19,0.3
304,0.19,0.5,0.14,0.4,0.28,0.6
305,0.43,0.6,0.27,0.6,0.37,0.8
306,0.61,0.6,0.23,0.3,0.5,0.7
307,0.16,0.8,0.73,0.4,0.95,0.5
308,0.32,0.6,0.94,0.5,0.32,0.7
309,0.75,0.5,0.2,0.6,0.81,0.4
310,0.67,0.7,0.97,0.7,0.18,0.8
311,0.25,0.3,0.49,0.4,0.52,0.7
312,0.62,0.3,0.73,0.6,0.35,0.5
313,0.59,0.4,0.21,0.6,0.69,0.4
314,0.29,0.6,0.77,0.7,0.3,0.7
315,0.87,0.6,0.42,0.4,0.81,0.5
316,0.15,0.4,0.41,0.6,0.83,0.7
317,0.92,0.6,0.15,0.7,0.95,0.3
318,0.11,0.7,0.33,0.5,0.28,0.4
319,0.2,0.6,0.11,0.7,0.73,0.4
320,0.89,0.6,0.79,0.6,0.26,0.4
321,0.46,0.3,0.2,0.7,0.71,0.6
322,0.28,0.6,0.5,0.6,0.32,0.8
323,0.68,0.3,0.45,0.4,0.23,0.4
324,0.4,0.6,0.7,0.7,0.16,0.8
325,0.83,0.3,0.56,0.5,0.69,0.5
326,0.21,0.8,0.63,0.8,0.17,0.3
327,0.2,0.3,0.61,0.8,0.55,0.5
328,0.83,0.3,0.28,0.7,0.21,0.4
329,0.79,0.6,0.72,0.3,0.77,0.5
330,0.36,0.6,0.68,0.6,0.29,0.3
331,0.92,0.7,0.12,0.4,0.9,0.6
332,0.82,0.4,0.29,0.8,0.71,0.7
333,0.54,0.4,0.93,0.5,0.11,0.7
334,0.46,0.4,0.85,0.3,0.15,0.5
335,0.74,0.3,0.56,0.7,0.74,0.5
336,0.45,0.4,0.4,0.6,0.56,0.6
337,0.72,0.8,0.56,0.4,0.2,0.8
338,0.31,0.5,0.67,0.7,0.53,0.7
339,0.29,0.4,0.13,0.8,0.73,0.5
340,0.75,0.5,0.21,0.4,0.41,0.7
341,0.89,0.7,0.17,0.7,0.26,0.6
342,0.86,0.3,0.51,0.7,0.45,0.3
343,0.26,0.4,0.66,0.7,0.23,0.7
344,0.91,0.5,0.5,0.4,0.1,0.4
345,0.53,0.7,0.96,0.4,0.71,0.7
346,0.56,0.6,0.33,0.7,0.33,0.8
347,0.24,0.6,0.77,0.5,0.83,0.4
348,0.91,0.4,0.72,0.7,0.37,0.6
349,0.41,0.5,0.65,0.3,0.62,0.5
350,0.49,0.3,0.68,0.7,0.45,0.7
351,0.33,0.7,0.81,0.7,0.16,0.8
352,0.9,0.4,0.81,0.7,0.32,0.5
353,0.49,0.6,0.16,0.7,0.87,0.4
354,0.71,0.5,0.3,0.5,0.77,0.7
355,0.5,0.7,0.36,0.4,0.82,0.5
356,0.28,0.6,0.49,0.5,0.73,0.6
357,0.5,0.4,0.74,0.5,0.85,0.8
358,0.93,0.4,0.7,0.7,0.79,0.6
359,0.97,0.5,0.87,0.4,0.56,0.3
360,0.64,0.6,0.5,0.3,0.53,0.4
361,0.65,0.8,0.49,0.5,0.34,0.6
362,0.49,0.4,0.6,0.5,0.15,0.7
363,0.59,0.4,0.16,0.7,0.59,0.7
364,0.66,0.5,0.91,0.4,0.38,0.6
365,0.21,0.4,0.83,0.3,0.78,0.5
366,0.81,0.8,0.45,0.6,0.7,0.4
367,0.15,0.5,0.81,0.4,0.69,0.5
368,0.26,0.5,0.88,0.6,0.21,0.7
369,0.7,0.5,0.11,0.4,0.6,0.6
370,0.57,0.6,0.97,0.3,0.85,0.6
371,0.61,0.3,0.92,0.7,0.28,0.8
372,0.17,0.3,0.83,0.4,0.78,0.7
373,0.26,0.5,0.34,0.5,0.77,0.3
374,0.23,0.7,0.65,0.8,0.27,0.3
375,0.97,0.5,0.43,0.6,0.83,0.4
376,0.72,0.7,0.46,0.8,0.73,0.5
377,0.57,0.6,0.46,0.4,0.84,0.4
378,0.5,0.4,0.4,0.5,0.24,0.4
379,0.86,0.4,0.97,0.7,0.16,0.5
380,0.8,0.6,0.58,0.6,0.9,0.7
381,0.4,0.8,0.15,0.6,0.13,0.5
382,0.41,0.7,0.38,0.6,0.71,0.6
383,0.81,0.6,0.89,0.7,0.94,0.4
384,0.6,0.4,0.51,0.4,0.82,0.5
385,0.57,0.8,0.33,0.6,0.36,0.7
386,0.6,0.4,0.41,0.6,0.19,0.3
387,0.33,0.7,0.12,0.6,0.23,0.6
388,0.88,0.6,0.27,0.6,0.78,0.8
389,0.79,0.3,0.62,0.3,0.11,0.6
390,0.56,0.5,0.18,0.8,0.32,0.5
391,0.72,0.7,0.88,0.4,0.96,0.4
392,0.41,0.7,0.94,0.7,0.5,0.3
393,0.81,0.6,0.64,0.4,0.29,0.4
394,0.81,0.7,0.26,0.5,0.74,0.7
395,0.81,0.5,0.83,0.5,0.92,0.4
396,0.51,0.3,0.27,0.5,0.76,0.7
397,0.69,0.5,0.51,0.6,0.42,0.5
398,0.6,0.5,0.44,0.6,0.55,0.5
399,0.24,0.8,0.73,0.6,0.39,0.6
400,0.37,0.5,0.27,0.3,0.54,0.4
401,0.58,0.7,0.57,0.6,0.7,0.7
402,0.18,0.5,0.26,0.5,0.23,0.6
403,0.61,0.5,0.14,0.6,0.9,0.7
404,0.84,0.7,0.77,0.6,0.38,0.7
405,0.43,0.5,0.39,0.6,0.73,0.6
406,0.16,0.7,0.7,0.6,0.39,0.8
407,0.46,0.6,0.39,0.7,0.38,0.8
408,0.23,0.4,0.19,0.5,0.24,0.5
409,0.63,0.6,0.15,0.5,0.96,0.3
410,0.94,0.7,0.23,0.4,0.25,0.6
411,0.48,0.4,0.91,0.5,0.14,0.8
412,0.74,0.3,0.53,0.5,0.89,0.8
413,0.65,0.5,0.79,0.4,0.12,0.6
414,0.55,0.7,0.53,0.3,0.3,0.4
415,0.27,0.6,0.79,0.6,0.76,0.8
416,0.81,0.3,0.76,0.4,0.95,0.7
417,0.83,0.8,0.61,0.5,0.33,0.6
418,0.76,0.6,0.11,0.4,0.58,0.6
419,0.48,0.4,0.31,0.8,0.91,0.5
420,0.26,0.6,0.37,0.4,0.84,0.3
421,0.53,0.6,0.16,0.6,0.63,0.7
422,0.49,0.6,0.61,0.3,0.76,0.6
423,0.78,0.6,0.31,0.6,0.15,0.7
424,0.43,0.8,0.66,0.6,0.46,0.3
425,0.2,0.5,0.32,0.3,0.82,0.5
426,0.53,0.6,0.84,0.6,0.25,0.4
427,0.75,0.6,0.2,0.5,0.89,0.7
428,0.4,0.7,0.64,0.8,0.15,0.3
429,0.33,0.4,0.56,0.6,0.32,0.6
430,0.88,0.5,0.81,0.8,0.16,0.8
431,0.55,0.5,0.58,0.7,0.19,0.7
432,0.48,0.7,0.41,0.5,0.44,0.8
433,0.67,0.4,0.29,0.6,0.37,0.8
434,0.18,0.4,0.21,0.6,0.79,0.3
435,0.61,0.7,0.56,0.4,0.25,0.6
436,0.66,0.8,0.12,0.7,0.13,0.7
437,0.15,0.8,0.5,0.4,0.93,0.5
438,0.77,0.5,0.56,0.4,0.73,0.5
439,0.38,0.6,0.74,0.3,0.53,0.7
440,0.83,0.6,0.8,0.8,0.23,0.4
441,0.73,0.5,0.94,0.4,0.92,0.5
442,0.38,0.4,0.52,0.5,0.69,0.5
443,0.78,0.4,0.21,0.6,0.25,0.6
444,0.46,0.5,0.47,0.4,0.49,0.5
445,0.1,0.6,0.12,0.7,0.79,0.7
446,0.82,0.5,0.65,0.8,0.48,0.7
447,0.23,0.5,0.24,0.4,0.14,0.3
448,0.47,0.7,0.49,0.3,0.55,0.5
449,0.67,0.5,0.5,0.4,0.56,0.4
450,0.6,0.3,0.79,0.3,0.78,0.6
451,0.25,0.4,0.32,0.6,0.73,0.3
452,0.6,0.4,0.52,0.3,0.45,0.5
453,0.42,0.3,0.82,0.6,0.74,0.7
454,0.44,0.8,0.28,0.5,0.18,0.6
455,0.77,0.4,0.6,0.5,0.91,0.4
456,0.65,0.6,0.13,0.5,0.89,0.7
457,0.85,0.7,0.76,0.4,0.52,0.4
458,0.66,0.4,0.11,0.4,0.57,0.4
459,0.61,0.4,0.89,0.7,0.16,0.4
460,0.74,0.7,0.83,0.5,0.77,0.8
461,0.33,0.7,0.85,0.5,0.55,0.7
462,0.51,0.5,0.66,0.7,0.39,0.6
463,0.53,0.5,0.8,0.7,0.27,0.6
464,0.66,0.6,0.74,0.5,0.37,0.4
465,0.35,0.5,0.91,0.6,0.55,0.4
466,0.56,0.5,0.24,0.7,0.78,0.6
467,0.11,0.7,0.21,0.5,0.56,0.3
468,0.44,0.6,0.29,0.7,0.95,0.7
469,0.49,0.5,0.12,0.8,0.9,0.4
470,0.96,0.5,0.41,0.5,0.53,0.6
471,0.5,0.8,0.84,0.6,0.95,0.7
472,0.6,0.7,0.9,0.3,0.62,0.8
473,0.91,0.6,0.16,0.7,0.48,0.4
474,0.32,0.8,0.81,0.4,0.79,0.7
475,0.79,0.8,0.83,0.7,0.19,0.6
476,0.64,0.5,0.41,0.7,0.3,0.3
477,0.59,0.3,0.82,0.3,0.23,0.5
478,0.81,0.7,0.1,0.7,0.97,0.7
479,0.87,0.5,0.38,0.7,0.64,0.5
480,0.24,0.4,0.19,0.5,0.4,0.5
481,0.38,0.3,0.4,0.3,0.53,0.5
482,0.52,0.8,0.69,0.4,0.46,0.5
483,0.4,0.6,0.93,0.6,0.12,0.6
484,0.32,0.5,0.8,0.7,0.67,0.4
485,0.41,0.7,0.6,0.3,0.91,0.4
486,0.62,0.7,0.81,0.5,0.35,0.5
487,0.33,0.5,0.18,0.8,0.71,0.5
488,0.35,0.8,0.93,0.3,0.86,0.3
489,0.35,0.5,0.8,0.8,0.27,0.5
490,0.6,0.7,0.62,0.5,0.87,0.5
491,0.55,0.7,0.23,0.3,0.48,0.5
492,0.24,0.4,0.25,0.7,0.83,0.6
493,0.15,0.5,0.44,0.7,0.81,0.7
494,0.45,0.4,0.72,0.7,0.29,0.6
495,0.7,0.5,0.95,0.3,0.27,0.5
496,0.24,0.6,0.83,0.7,0.55,0.3
497,0.33,0.4,0.58,0.8,0.74,0.7
498,0.86,0.6,0.77,0.4,0.47,0.3
499,0.67,0.3,0.68,0.4,0.71,0.3
500,0.97,0.5,0.82,0.5,0.19,0.6
501,0.44,0.5,0.63,0.5,0.59,0.8
502,0.96,0.3,0.35,0.5,0.31,0.6
503,0.34,0.6,0.92,0.7,0.29,0.7
504,0.89,0.3,0.3,0.4,0.76,0.6
505,0.72,0.3,0.84,0.7,0.41,0.8
506,0.71,0.4,0.94,0.4,0.89,0.6
507,0.14,0.5,0.36,0.4,0.78,0.4
508,0.13,0.6,0.63,0.4,0.87,0.3
509,0.42,0.8,0.15,0.4,0.56,0.5
510,0.2,0.4,0.82,0.7,0.66,0.3
511,0.26,0.6,0.13,0.4,0.17,0.4
512,0.24,0.5,0.19,0.7,0.79,0.5
513,0.42,0.4,0.37,0.7,0.29,0.3
514,0.29,0.6,0.89,0.7,0.51,0.6
515,0.74,0.5,0.71,0.6,0.56,0.7
516,0.82,0.5,0.35,0.8,0.92,0.4
517,0.28,0.4,0.31,0.6,0.11,0.4
518,0.35,0.7,0.36,0.6,0.78,0.3
519,0.77,0.4,0.64,0.8,0.32,0.5
520,0.94,0.3,0.67,0.7,0.53,0.5
521,0.9,0.7,0.57,0.4,0.46,0.5
522,0.78,0.4,0.89,0.5,0.77,0.7
523,0.11,0.4,0.59,0.7,0.64,0.6
524,0.38,0.6,0.77,0.5,0.75,0.4
525,0.11,0.7,0.84,0.4,0.84,0.4
526,0.71,0.5,0.51,0.5,0.55,0.5
527,0.39,0.6,0.82,0.6,0.26,0.4
528,0.31,0.5,0.17,0.7,0.44,0.8
529,0.42,0.6,0.96,0.6,0.19,0.6
530,0.21,0.5,0.2,0.4,0.13,0.3
531,0.9,0.7,0.31,0.6,0.59,0.3
532,0.78,0.6,0.14,0.7,0.7,0.7
533,0.18,0.5,0.96,0.7,0.89,0.8
534,0.89,0.7,0.4,0.5,0.46,0.5
